DATE,VaR_MC_95
2022-03-30,-0.009947132743141187
2022-03-31,-0.00996160648721952
2022-04-01,-0.010077761607597994
2022-04-04,-0.010066797636572946
2022-04-05,-0.01004118850887892
2022-04-06,-0.01013645984713249
2022-04-07,-0.010181907028674544
2022-04-08,-0.010197966164297936
2022-04-11,-0.010245355018287834
2022-04-12,-0.01032505601464982
2022-04-13,-0.010275798380593483
2022-04-14,-0.01035928782772414
2022-04-18,-0.010480814975791081
2022-04-19,-0.010423826393729943
2022-04-20,-0.010476318048067743
2022-04-21,-0.010438509834817034
2022-04-22,-0.010552632718053534
2022-04-25,-0.010734901263678624
2022-04-26,-0.010795160016352398
2022-04-27,-0.011043925810824293
2022-04-28,-0.010958842322425657
2022-04-29,-0.01103905255436794
2022-05-02,-0.011379294758285063
2022-05-03,-0.01116998681269691
2022-05-04,-0.011302786570272269
2022-05-05,-0.011392726960907713
2022-05-06,-0.011683937011884337
2022-05-09,-0.01167402267117579
2022-05-10,-0.01191845601730484
2022-05-11,-0.011884205321226093
2022-05-12,-0.011910071196793555
2022-05-13,-0.011865981951707572
2022-05-16,-0.011789001920336176
2022-05-17,-0.011902936143063335
2022-05-18,-0.011896205119377324
2022-05-19,-0.012286015618828718
2022-05-20,-0.012367135905253736
2022-05-23,-0.012436420981289014
2022-05-24,-0.012343914346911795
2022-05-25,-0.012417258427317932
2022-05-26,-0.01231992704959511
2022-05-27,-0.01234854136003528
2022-05-31,-0.012440779209775316
2022-06-01,-0.012445121441032471
2022-06-02,-0.012419291703300467
2022-06-03,-0.01265211276006792
2022-06-06,-0.012554347586166222
2022-06-07,-0.012576493371623055
2022-06-08,-0.012633116426491127
2022-06-09,-0.012565907242631326
2022-06-10,-0.012816356526755201
2022-06-13,-0.013083321263269571
2022-06-14,-0.013571661226360972
2022-06-15,-0.013543934591317258
2022-06-16,-0.013476231450601294
2022-06-17,-0.013778711620549059
2022-06-21,-0.013658149460395426
2022-06-22,-0.013578658635815491
2022-06-23,-0.013597352622099936
2022-06-24,-0.013688177263069526
2022-06-27,-0.013741074916297233
2022-06-28,-0.013626872776471425
2022-06-29,-0.013914630246744514
2022-06-30,-0.01380690979374628
2022-07-01,-0.013979838322198786
2022-07-05,-0.013880420580529658
2022-07-06,-0.013920481283613426
2022-07-07,-0.013957068932765588
